1  9  7  1 
2  7  9  1 
2  6  10  2 
2  5  11  3 
2  4  12  4 
2  3  13  5 
2  2  14  6 
2  1  15  7 
2  0  16  8 
1  17  0  9 
1  16  1  8 
1  15  2  7 
1  14  3  6 
1  13  4  5 
1  12  5  4 
1  11  6  3 
1  10  7  2 
2  7  10  1 
2  6  11  2 
2  5  12  3 
2  4  13  4 
2  3  14  5 
2  2  15  6 
2  1  16  7 
2  0  17  8 
1  18  0  9 
1  17  1  8 
1  16  2  7 
1  15  3  6 
1  14  4  5 
1  13  5  4 
1  12  6  3 
1  11  7  2 
1  10  8  1 
2  8  10  1 
2  7  11  2 
2  6  12  3 
2  5  13  4 
2  4  14  5 
2  3  15  6 
2  2  16  7 
2  1  17  8 
2  0  18  9 
1  19  0  10 
1  18  1  9 
1  17  2  8 
1  16  3  7 
1  15  4  6 
1  14  5  5 
1  13  6  4 
1  12  7  3 
1  11  8  2 
2  8  11  1 
2  7  12  2 
2  6  13  3 
2  5  14  4 
2  4  15  5 
2  3  16  6 
2  2  17  7 
2  1  18  8 
2  0  19  9 
1  20  0  10 
1  19  1  9 
1  18  2  8 
1  17  3  7 
1  16  4  6 
1  15  5  5 
1  14  6  4 
1  13  7  3 
1  12  8  2 
1  11  9  1 
2  9  11  1 
2  8  12  2 
2  7  13  3 
2  6  14  4 
2  5  15  5 
2  4  16  6 
2  3  17  7 
2  2  18  8 
2  1  19  9 
2  0  20  10 
1  21  0  11 
1  20  1  10 
1  19  2  9 
1  18  3  8 
1  17  4  7 
1  16  5  6 
1  15  6  5 
1  14  7  4 
1  13  8  3 
1  12  9  2 
2  9  12  1 
2  8  13  2 
2  7  14  3 
2  6  15  4 
2  5  16  5 
2  4  17  6 
2  3  18  7 
2  2  19  8 
2  1  20  9 
2  0  21  10 
1  22  0  11 
1  21  1  10 
1  20  2  9 
1  19  3  8 
1  18  4  7 
1  17  5  6 
1  16  6  5 
1  15  7  4 
1  14  8  3 
1  13  9  2 
1  12  10  1 
2  10  12  1 
2  9  13  2 
2  8  14  3 
2  7  15  4 
2  6  16  5 
2  5  17  6 
2  4  18  7 
2  3  19  8 
2  2  20  9 
2  1  21  10 
2  0  22  11 
1  23  0  12 
1  22  1  11 
1  21  2  10 
1  20  3  9 
1  19  4  8 
1  18  5  7 
1  17  6  6 
1  16  7  5 
1  15  8  4 
1  14  9  3 
1  13  10  2 
2  10  13  1 
2  9  14  2 
2  8  15  3 
2  7  16  4 
2  6  17  5 
2  5  18  6 
2  4  19  7 
2  3  20  8 
2  2  21  9 
2  1  22  10 
2  0  23  11 
1  24  0  12 
1  23  1  11 
1  22  2  10 
1  21  3  9 
1  20  4  8 
1  19  5  7 
1  18  6  6 
1  17  7  5 
1  16  8  4 
1  15  9  3 
1  14  10  2 
1  13  11  1 
2  11  13  1 
2  10  14  2 
2  9  15  3 
2  8  16  4 
2  7  17  5 
2  6  18  6 
2  5  19  7 
2  4  20  8 
2  3  21  9 
2  2  22  10 
2  1  23  11 
2  0  24  12 
1  25  0  13 
1  24  1  12 
1  23  2  11 
1  22  3  10 
1  21  4  9 
1  20  5  8 
1  19  6  7 
1  18  7  6 
1  17  8  5 
1  16  9  4 
1  15  10  3 
1  14  11  2 
2  11  14  1 
2  10  15  2 
2  9  16  3 
2  8  17  4 
2  7  18  5 
2  6  19  6 
2  5  20  7 
2  4  21  8 
2  3  22  9 
2  2  23  10 
2  1  24  11 
2  0  25  12 
1  26  0  13 
1  25  1  12 
1  24  2  11 
1  23  3  10 
1  22  4  9 
1  21  5  8 
1  20  6  7 
1  19  7  6 
1  18  8  5 
1  17  9  4 
1  16  10  3 
1  15  11  2 
1  14  12  1 
2  12  14  1 
2  11  15  2 
2  10  16  3 
2  9  17  4 
2  8  18  5 
2  7  19  6 
2  6  20  7 
2  5  21  8 
2  4  22  9 
2  3  23  10 
2  2  24  11 
2  1  25  12 
2  0  26  13 
1  27  0  14 
1  26  1  13 
1  25  2  12 
1  24  3  11 
1  23  4  10 
1  22  5  9 
1  21  6  8 
1  20  7  7 
1  19  8  6 
1  18  9  5 
1  17  10  4 
1  16  11  3 
1  15  12  2 
2  12  15  1 
2  11  16  2 
2  10  17  3 
2  9  18  4 
2  8  19  5 
2  7  20  6 
2  6  21  7 
2  5  22  8 
2  4  23  9 
2  3  24  10 
2  2  25  11 
2  1  26  12 
2  0  27  13 
1  28  0  14 
1  27  1  13 
1  26  2  12 
1  25  3  11 
1  24  4  10 
1  23  5  9 
1  22  6  8 
1  21  7  7 
1  20  8  6 
1  19  9  5 
1  18  10  4 
1  17  11  3 
1  16  12  2 
1  15  13  1 
2  13  15  1 
2  12  16  2 
2  11  17  3 
2  10  18  4 
2  9  19  5 
2  8  20  6 
2  7  21  7 
2  6  22  8 
2  5  23  9 
2  4  24  10 
2  3  25  11 
2  2  26  12 
2  1  27  13 
2  0  28  14 
1  29  0  15 
1  28  1  14 
1  27  2  13 
1  26  3  12 
1  25  4  11 
1  24  5  10 
1  23  6  9 
1  22  7  8 
1  21  8  7 
1  20  9  6 
1  19  10  5 
1  18  11  4 
1  17  12  3 
1  16  13  2 
2  13  16  1 
2  12  17  2 
2  11  18  3 
2  10  19  4 
2  9  20  5 
2  8  21  6 
2  7  22  7 
2  6  23  8 
2  5  24  9 
2  4  25  10 
2  3  26  11 
2  2  27  12 
2  1  28  13 
2  0  29  14 
1  30  0  15 
1  29  1  14 
