(19,4) = 5.090505492613470e-17 
(18,5) = 1.286653005872900e-16 
(17,6) = 2.721017970281420e-16 
(16,7) = 4.460892215743020e-16 
(15,8) = 6.445087230856760e-16 
(14,9) = 8.357677506701790e-16 
(13,10) = 9.902702067131960e-16 
(12,11) = 1.205874696035020e-15 
(11,12) = 1.250711101530280e-15 
(10,13) = 1.006813857664830e-15 
(9,14) = 8.422644544712100e-16 
(8,15) = 6.467489512143180e-16 
(7,16) = 4.464706204824070e-16 
(6,17) = 2.718440562710860e-16 
(5,18) = 1.283680269786370e-16 
(4,19) = 5.073263595368510e-17 
(3,20) = 1.610408889824790e-17 
(2,21) = 2.135273708176850e-18 
(1,22) = 1.891529870304050e-19 
(0,23) = 8.393723008317430e-21 
(24,0) = 1.133258181629180e-20 
(23,1) = 2.549844967438390e-19 
(22,2) = 2.873404043818960e-18 
(21,3) = 2.162836413565750e-17 
(20,4) = 6.798375300692000e-17 
(19,5) = 1.715635398596940e-16 
(18,6) = 3.621801023514440e-16 
(17,7) = 5.925550019617510e-16 
(16,8) = 8.539488289887390e-16 
(15,9) = 1.103461996828220e-15 
(14,10) = 1.299622646541490e-15 
(13,11) = 1.564162522393340e-15 
(12,12) = 1.918014755698810e-15 
(11,13) = 1.608050623530380e-15 
(10,14) = 1.315789422049080e-15 
(9,15) = 1.110153087516320e-15 
(8,16) = 8.560597257016300e-16 
(7,17) = 5.926242019724780e-16 
(6,18) = 3.616163227902720e-16 
(5,19) = 1.710762672336420e-16 
(4,20) = 6.772170495393440e-17 
(3,21) = 2.152754728740350e-17 
(2,22) = 2.858043747143220e-18 
(1,23) = 2.534710280777180e-19 
(0,24) = 1.125943636979620e-20 
(25,0) = 1.394893255920570e-20 
(24,1) = 3.420651818061910e-19 
(23,2) = 3.850674224227330e-18 
(22,3) = 2.895025221783310e-17 
(21,4) = 9.087791949471151e-17 
(20,5) = 2.289871907737260e-16 
(19,6) = 4.825529387610570e-16 
(18,7) = 7.878822082521390e-16 
(17,8) = 1.132613792612810e-15 
(16,9) = 1.458813975569750e-15 
(15,10) = 1.709877234394440e-15 
(14,11) = 2.038904704253340e-15 
(13,12) = 2.497865540981010e-15 
(12,13) = 2.595032591583060e-15 
(11,14) = 2.077488196963180e-15 
(10,15) = 1.725704338462240e-15 
(9,16) = 1.465183082405940e-15 
(8,17) = 1.134122126970020e-15 
(7,18) = 7.872866453401560e-16 
(6,19) = 4.814553638721560e-16 
(5,20) = 2.281981764801790e-16 
(4,21) = 9.048039558367760e-17 
(3,22) = 2.880210217170790e-17 
(2,23) = 3.828542839095440e-18 
(1,24) = 3.399115921533690e-19 
(0,25) = 1.385432184437560e-20 
(26,0) = 1.716200785665210e-20 
(25,1) = 4.209339410125510e-19 
(24,2) = 5.164221216210870e-18 
(23,3) = 3.878276966707670e-17 
(22,4) = 1.215901278230120e-16 
(21,5) = 3.059203817161070e-16 
(20,6) = 6.435657701004800e-16 
(19,7) = 1.048651358469910e-15 
(18,8) = 1.503766757959100e-15 
(17,9) = 1.930819147464670e-15 
(16,10) = 2.253372259169050e-15 
(15,11) = 2.668096425464570e-15 
(14,12) = 3.228062432762760e-15 
(13,13) = 3.622337637792870e-15 
(12,14) = 3.327966605087770e-15 
(11,15) = 2.706454512156260e-15 
(10,16) = 2.269597200570410e-15 
(9,17) = 1.936791827606050e-15 
(8,18) = 1.504375215146190e-15 
(7,19) = 1.047090602019420e-15 
(6,20) = 6.417148703262870e-16 
(5,21) = 3.047115587247420e-16 
(4,22) = 1.210057568397050e-16 
(3,23) = 3.856977939027940e-17 
(2,24) = 5.132819097239960e-18 
(1,25) = 4.181562162298500e-19 
(0,26) = 1.704039658330710e-20 
(27,0) = 2.111111887124060e-20 
(26,1) = 5.177847073195590e-19 
(25,2) = 6.353466002985030e-18 
(24,3) = 5.199819399353810e-17 
(23,4) = 1.628315948659660e-16 
(22,5) = 4.091160431083130e-16 
(21,6) = 8.592542423008690e-16 
(20,7) = 1.397393623941630e-15 
(19,8) = 1.999125273835430e-15 
(18,9) = 2.559263929341320e-15 
(17,10) = 2.975147151515890e-15 
(16,11) = 3.502540395611390e-15 
(15,12) = 4.194465455404590e-15 
(14,13) = 4.693626390995770e-15 
(13,14) = 4.897337506636200e-15 
(12,15) = 4.283857735394480e-15 
(11,16) = 3.540204858750090e-15 
(10,17) = 2.990577777232000e-15 
(9,18) = 2.563702776376000e-15 
(8,19) = 1.997912889852370e-15 
(7,20) = 1.394205381794080e-15 
(6,21) = 8.562284502839520e-16 
(5,22) = 4.072806289631300e-16 
(4,23) = 1.619751475147660e-16 
(3,24) = 5.169195370685590e-17 
(2,25) = 6.312587794349420e-18 
(1,26) = 5.141894947506020e-19 
(0,27) = 2.095436771109700e-20 
(28,0) = 2.596765163438510e-20 
(27,1) = 6.367791342108930e-19 
(26,2) = 7.813277795224670e-18 
(25,3) = 6.395432153836600e-17 
(24,4) = 2.182420833998310e-16 
(23,5) = 5.476295764182020e-16 
(22,6) = 1.148412034530140e-15 
(21,7) = 1.864232329769040e-15 
(20,8) = 2.660978937138990e-15 
(19,9) = 3.396954603939890e-15 
(18,10) = 3.934520873871060e-15 
(17,11) = 4.608396293269730e-15 
(16,12) = 5.475149143872460e-15 
(15,13) = 6.044382737686510e-15 
(14,14) = 6.836919920094580e-15 
(13,15) = 6.248507638166750e-15 
(12,16) = 5.563581321580260e-15 
(11,17) = 4.646513994344340e-15 
(10,18) = 3.948800174894100e-15 
(9,19) = 3.399100755470560e-15 
(8,20) = 2.657148984519750e-15 
(7,21) = 1.858762055227890e-15 
(6,22) = 1.143764355803340e-15 
(5,23) = 5.449340901524520e-16 
(4,24) = 2.170130859578590e-16 
(3,25) = 6.355675887712700e-17 
(2,26) = 7.760494465639180e-18 
(1,27) = 6.321555767881240e-19 
(0,28) = 2.576666519056120e-20 
